operator,plan_name,plan_code,data_allowance_raw,data_allowance_normalized,qos_raw,qos_speed,voice_allowance,sms_allowance,base_price_text,base_price,benefit_price_text,benefit_price,plan_type,partnership_flag,network_type,product_group,source_url,collected_at
리브엠모바일,태블릿 LTE 10GB+(KT망),PD00000960,월10GB+200Kbps,월10GB+200Kbps,월10GB+200Kbps,200Kbps,0,0,"월 11,500원",11500,,,유심,false,LTE,K03,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,태블릿 LTE 20GB+(KT망),PD00000961,월20GB+200Kbps,월20GB+200Kbps,월20GB+200Kbps,200Kbps,0,0,"월 14,500원",14500,,,유심,false,LTE,K03,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,태블릿 LTE 5GB(SKT망),PD00000962,월5GB,월5GB,,,0,0,"월 12,500원",12500,,,유심,false,LTE,S04,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,태블릿 LTE 10GB(SKT망),PD00000963,월10GB,월10GB,,,0,0,"월 14,000원",14000,,,유심,false,LTE,S04,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,청년도약 LTE 71GB+ (LGU+망),PD00000969,71GB+(월11GB+일2GB),71GB+(월11GB+일2GB),,,기본제공,기본제공,"월 34,300원",34300,,,유심,false,LTE,U21,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 무제한 31GB+(LGU+망),PD00000978,31GB+1Mbps,31GB+1Mbps,31GB+1Mbps,1Mbps,기본제공,기본제공,"월 40,900원",40900,,,유심,false,5G,U16,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 무제한 50GB+(LGU+망),PD00000979,50GB+1Mbps,50GB+1Mbps,50GB+1Mbps,1Mbps,기본제공,기본제공,"월 42,400원",42400,,,유심,false,5G,U16,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 무제한 30GB+(KT망),PD00000980,30GB+1Mbps,30GB+1Mbps,30GB+1Mbps,1Mbps,기본제공,기본제공,"월 42,400원",42400,,,유심,false,5G,K07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 무제한 50GB+(KT망),PD00000981,50GB+1Mbps,50GB+1Mbps,50GB+1Mbps,1Mbps,기본제공,기본제공,"월 43,900원",43900,,,유심,false,5G,K07,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 무제한 24GB+(SKT망),PD00000982,24GB+1Mbps,24GB+1Mbps,24GB+1Mbps,1Mbps,기본제공,기본제공,"월 43,400원",43400,,,유심,false,5G,S03,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 무제한 54GB+(SKT망),PD00000983,54GB+1Mbps,54GB+1Mbps,54GB+1Mbps,1Mbps,기본제공,기본제공,"월 46,400원",46400,,,유심,false,5G,S03,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 실속 15GB+(100분) (밀리의서재)(KT망),PD00000989,15GB+3Mbps,15GB+3Mbps,15GB+3Mbps,3Mbps,100 분,100건,"월 28,500원",28500,,,유심,false,LTE,K04,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 무제한 7GB+ (밀리의서재)(KT망),PD00000990,7GB+1Mbps,7GB+1Mbps,7GB+1Mbps,1Mbps,기본제공,기본제공,"월 19,500원",19500,,,유심,false,LTE,K01,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 무제한 11GB+ (밀리의서재)(KT망),PD00000991,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 35,500원",35500,,,유심,false,LTE,K01,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 무제한 100GB+ (밀리의서재)(KT망),PD00000992,100GB+5Mbps,100GB+5Mbps,100GB+5Mbps,5Mbps,기본제공,기본제공,"월 41,000원",41000,,,유심,false,LTE,K01,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 무제한 10GB+ (밀리의서재)(KT망),PD00000993,월10GB+1Mbps,월10GB+1Mbps,월10GB+1Mbps,1Mbps,기본제공,기본제공,"월 22,000원",22000,,,유심,false,LTE,K01,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 무제한 15GB+ (밀리의서재)(KT망),PD00000994,월15GB+1Mbps,월15GB+1Mbps,월15GB+1Mbps,1Mbps,기본제공,기본제공,"월 24,000원",24000,,,유심,false,LTE,K01,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 15GB+ (100분/100건)(LGU+망),PD00001023,15GB+3Mbps,15GB+3Mbps,15GB+3Mbps,3Mbps,100분,100건,"월 26,900원",26900,"혜택가 월 20,200원",20200,유심,false,LTE,U15,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 15GB+ (300분/300건)(LGU+망),PD00001025,15GB+3Mbps,15GB+3Mbps,15GB+3Mbps,3Mbps,300분,300건,"월 28,900원",28900,"혜택가 월 22,200원",22200,유심,false,LTE,U15,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,내맘대로 LTE,PD00001076,1~5GB,1~5GB,,,50~200분,100건,"월 5,000원",5000,,,유심,false,LTE,U22,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 100GB+(LGU+망),PD00001078,100GB+5Mbps,100GB+5Mbps,100GB+5Mbps,5Mbps,기본제공,기본제공,"월 41,400원",41400,,,유심,false,LTE,U15,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,보이스피싱예방 LTE 15GB+(100분/100건),PD00001086,15GB+3Mbps,15GB+3Mbps,15GB+3Mbps,3Mbps,100분,100건,"월 26,900원",26900,"혜택가 월 20,300원",20300,유심,false,LTE,U24,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,보이스피싱예방 LTE 15GB+(300분/300건),PD00001087,15GB+3Mbps,15GB+3Mbps,15GB+3Mbps,3Mbps,300분,300건,"월 28,900원",28900,"혜택가 월 22,300원",22300,유심,false,LTE,U24,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,KB그룹 임직원 프리미엄 LTE 100GB+(LGU+망),PD00001089,100GB+5Mbps,100GB+5Mbps,100GB+5Mbps,5Mbps,무제한,무제한,"월 49,900원",49900,,,유심,false,LTE,U26,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 10GB+(LGU+망),PD00001124,10GB+1Mbps,10GB+1Mbps,10GB+1Mbps,1Mbps,기본제공,기본제공,"월 21,300원",21300,"혜택가 월 16,900원",16900,유심,false,LTE,U15,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 15GB+(LGU+망),PD00001125,15GB+1Mbps,15GB+1Mbps,15GB+1Mbps,1Mbps,기본제공,기본제공,"월 23,300원",23300,"혜택가 월 18,900원",18900,유심,false,LTE,U15,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,골든라이프 LTE 4GB+(LGU+망),PD00001126,4GB+1Mbps,4GB+1Mbps,4GB+1Mbps,1Mbps,기본제공,기본제공,"월 13,400원",13400,,,유심,false,LTE,U20,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,보이스피싱예방 LTE 7GB+(안심직거래)(KT망),PD00001127,7GB+1Mbps,7GB+1Mbps,7GB+1Mbps,1Mbps,기본제공,기본제공,"월 19,500원",19500,,,유심,false,LTE,K11,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,보이스피싱예방 LTE 15GB+(안심직거래)(KT망),PD00001128,15GB+1Mbps,15GB+1Mbps,15GB+1Mbps,1Mbps,기본제공,기본제공,"월 24,000원",24000,,,유심,false,LTE,K11,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 100GB+ (CU할인)(KT망),PD00001138,100GB+5Mbps,100GB+5Mbps,100GB+5Mbps,5Mbps,기본제공,기본제공,"월 41,000원",41000,"혜택가 월 36,600원",36600,유심,false,LTE,K12,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 71GB+ (CU할인)(KT망),PD00001139,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 35,500원",35500,"혜택가 월 31,100원",31100,유심,false,LTE,K12,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 15GB+ (300분)(CU할인)(KT망),PD00001140,15GB+3Mbps,15GB+3Mbps,15GB+3Mbps,3Mbps,300분,300건,"월 30,500원",30500,"혜택가 월 26,100원",26100,유심,false,LTE,K12,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 15GB+ (100분)(CU할인)(KT망),PD00001141,15GB+3Mbps,15GB+3Mbps,15GB+3Mbps,3Mbps,100분,100건,"월 28,500원",28500,"혜택가 월 24,100원",24100,유심,false,LTE,K12,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,LTE 15GB+ (CU할인)(KT망),PD00001142,15GB+1Mbps,15GB+1Mbps,15GB+1Mbps,1Mbps,기본제공,기본제공,"월 24,800원",24800,"혜택가 월 20,400원",20400,유심,false,LTE,K12,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,ESG LTE 3GB+(100분)(LGU+망),PD00001143,3GB+1Mbps,3GB+1Mbps,3GB+1Mbps,1Mbps,100분,100건,"월 10,900원",10900,,,유심,false,LTE,U27,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,ESG LTE 5GB+(100분)(LGU+망),PD00001144,5GB+1Mbps,5GB+1Mbps,5GB+1Mbps,1Mbps,100분,100건,"월 12,300원",12300,,,유심,false,LTE,U27,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,ESG LTE 71GB+(LGU+망),PD00001145,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 34,300원",34300,,,유심,false,LTE,U27,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,5G 20GB(100분),PD00001190,20GB,20GB,,,100분,100건,"월 19,500원",19500,,,유심,false,5G,S03,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,직장인우대(연금) LTE 7GB+ 밀리의서재(KT망),PD00001198,7GB+10GB+1Mbps,7GB+10GB+1Mbps,7GB+10GB+1Mbps,1Mbps,기본제공,기본제공,"월 19,300원",19300,,,유심,false,LTE,K16,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,더블업 LTE 17GB+,PD00001300,7GB+10GB(24개월)+1Mbps,7GB+10GB(24개월)+1Mbps,7GB+10GB(24개월)+1Mbps,1Mbps,기본제공,기본제공,"월 17,000원",17000,,,유심,false,LTE,U34,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,더블업 LTE 20GB+(LGU+망),PD00001301,10GB+10GB(24개월)+1Mbps,10GB+10GB(24개월)+1Mbps,10GB+10GB(24개월)+1Mbps,1Mbps,기본제공,기본제공,"월 20,000원",20000,,,유심,false,LTE,U34,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,더블업 LTE 25GB+(LGU+망),PD00001302,15GB+10GB(24개월)+1Mbps,15GB+10GB(24개월)+1Mbps,15GB+10GB(24개월)+1Mbps,1Mbps,기본제공,기본제공,"월 22,000원",22000,,,유심,false,LTE,U34,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,선생님든든 LTE(신),PD00001307,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 33,000원",33000,"혜택가 월 30,800원",30800,유심,false,LTE,U12,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,무궁화 LTE(신),PD00001308,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 33,000원",33000,"혜택가 월 30,800원",30800,유심,false,LTE,U12,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,나라사랑 LTE(신),PD00001309,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 33,000원",33000,"혜택가 월 30,800원",30800,유심,false,LTE,U06,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,공무원든든 LTE(신),PD00001315,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 33,000원",33000,"혜택가 월 30,800원",30800,유심,false,LTE,U12,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,KB 영웅 LTE 71GB+,PD00001316,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 33,000원",33000,"혜택가 월 26,400원",26400,유심,false,LTE,U36,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,사장님 LTE 71GB+,PD00001317,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,월11GB+일2GB+3Mbps,3Mbps,기본제공,기본제공,"월 34,300원",34300,"혜택가 월 26,400원",26400,유심,false,LTE,U35,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,사장님 LTE 17GB+(LGU+망),PD00001319,7GB+1Mbps,7GB+1Mbps,7GB+1Mbps,1Mbps,기본제공,기본제공,"월 17,000원",17000,,,유심,false,LTE,U35,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,사장님 LTE 7GB+밀리의서재(KT망),PD00001321,7GB+1Mbps,7GB+1Mbps,7GB+1Mbps,1Mbps,기본제공,기본제공,"월 19,500원",19500,,,유심,false,LTE,K18,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
리브엠모바일,직장인우대(연금) 15GB(LGU+망),PD00001325,15GB(10GB+5GB(24개월)),15GB(10GB+5GB(24개월)),,,1000분,1000건,"월 16,900원",16900,,,유심,false,LTE,U32,https://m.liivm.com/rateplan/plans/products,2026-05-07T13:30:44.128Z
